"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-08-10",155017,430,15158,9209,1554,48751,328696,32850074,342902,1592,2529,5044337,41370,56,68471835,763485
"2020-08-09",154587,621,15081,9307,862,48997,327142,32507172,382995,1578,2507,5002967,50766,56,67708350,786761
"2020-08-08",153966,1086,15024,9662,1494,50071,326280,32124177,342265,1561,2566,4952201,53529,56,66921589,778039
"2020-08-07",152880,1323,14925,9698,7994,51327,324786,31781912,421107,1549,2628,4898672,60823,56,66143550,885705
"2020-08-06",151557,1241,14810,9996,2615,53219,316792,31360805,407901,1534,2714,4837849,54048,56,65257845,848946
"2020-08-05",150316,1355,14687,9988,2118,53435,314177,30952904,364580,1524,2721,4783801,52698,56,64408899,817084
"2020-08-04",148961,1241,14537,10207,4423,53436,312059,30588324,363055,1493,2701,4731103,51198,56,63591815,788697
"2020-08-03",147720,516,14370,10233,1558,53517,307636,30225269,343116,1463,2664,4679905,42738,56,62803118,733613
"2020-08-02",147204,496,14288,10415,831,54106,306078,29882153,373458,1448,2645,4637167,53301,56,62069505,781698
"2020-08-01",146708,1201,14227,10450,2386,54554,305247,29508695,372834,1445,2698,4583866,60679,56,61287807,801653
"2020-07-31",145507,1328,14044,10473,2532,55721,302861,29135861,267549,1437,2701,4523187,67827,56,60486154,988351
"2020-07-30",144179,1248,13875,10519,3291,56571,300329,28868312,402674,1415,2762,4455360,68961,56,59497803,887913
"2020-07-29",142931,1503,13744,10535,2860,57422,297038,28465638,462170,1400,2771,4386399,64143,56,58609890,907873
"2020-07-28",141428,1111,13559,10463,4068,57185,294178,28003468,361538,1372,2748,4322256,58457,56,57702017,837256
"2020-07-27",140317,1066,13412,10328,1631,58987,290110,27641930,398659,1356,2723,4263799,54479,56,56864761,783895
"2020-07-26",139251,561,13343,10353,1380,58731,288479,27243271,479870,1336,2723,4209320,60768,56,56080866,855190
"2020-07-25",138690,1014,13279,10380,1820,59382,287099,26763401,367424,1300,2729,4148552,64845,56,55225676,867908
"2020-07-24",137676,1175,13182,10389,3063,59800,285279,26395977,473177,1297,2709,4083707,75061,56,54357768,1006378
"2020-07-23",136501,1070,12933,10423,2373,59860,282216,25922800,468926,1280,2467,4008646,71436,56,53351390,932021
"2020-07-22",135431,1149,12790,10460,2238,59758,279843,25453874,410868,1258,2444,3937210,69422,56,52419369,902086
"2020-07-21",134282,1041,12629,6717,2551,59476,277605,25043006,360741,1242,2414,3867788,62920,56,51517283,827610
"2020-07-20",133241,376,12475,6551,1563,58518,275054,24682265,369701,1223,2403,3804868,56663,56,50689673,735917
"2020-07-19",132865,527,12393,6384,888,58052,273491,24312564,405435,1216,2362,3748205,64230,56,49953756,796575
"2020-07-18",132338,876,12342,6397,1992,57822,272603,23907129,355850,1211,2343,3683975,64750,56,49157181,853098
"2020-07-17",131462,939,12243,6451,2485,57871,270611,23551279,420833,1200,2352,3619225,76524,56,48304083,932278
"2020-07-16",130523,941,12091,6349,2210,57602,268126,23130446,432515,1175,2314,3542701,70489,56,47371805,943610
"2020-07-15",129582,863,12002,6328,2388,56340,265916,22697931,416286,1166,2322,3472212,69373,56,46428195,908001
"2020-07-14",128719,741,11857,6238,2246,55678,263528,22281645,383078,1154,2263,3402839,58609,56,45520194,845624
